book_name,author,avg_rating,total_reviews,kafkaesque_review_count,release_date,genres,english_review_count
The Russian Debutante s Handbook,Gary Shteyngart,3.56,771,1,"April 29, 2002",Fiction | Russia | Humor | Contemporary | Novels | Book Club | Jewish,1
V ,Thomas Pynchon | Carlos Martín Ramírez,3.97,1490,2,"August 1, 1963",Fiction | Classics | Literature | Novels | American | Contemporary | Literary Fiction,2
History,Elsa Morante | Lily Tuck,4.31,948,1,"January 1, 1974",Fiction | Italian Literature | Italy | Historical Fiction | Classics | War | Literature,1
A Wild Sheep Chase,Haruki Murakami | Alfred Birnbaum,3.94,8623,10,"October 13, 1982",Fiction | Japan | Magical Realism | Japanese Literature | Fantasy | Contemporary | Novels,9
hell screen,Ryūnosuke Akutagawa | Jay Rubin,4.17,285,1,"January 1, 1918",Short Stories | Japan | Fiction | Japanese Literature | Horror | Classics | Literature,1
Zeno s Conscience,Italo Svevo | William Weaver | Claudio Carini,3.77,1557,2,"January 1, 1923",Fiction | Italian Literature | Italy | Literature | Novels | Classics | 20th Century,2
1q84,Haruki Murakami | Jay Rubin | Philip Gabriel,3.95,26287,8,"August 28, 2009",Fiction | Fantasy | Magical Realism | Japan | Science Fiction | Japanese Literature | Contemporary,8
The Complete Stories,Franz Kafka | John Updike | Nahum N. Glatzer,4.33,1085,44,"January 1, 1911",Fiction | Short Stories | Classics | Literature | German Literature | Philosophy | Horror,40
Brave New World,Aldous Huxley,3.99,57120,4,"January 1, 1932",Classics | Fiction | Science Fiction | Dystopia | Literature | Novels | School,4
Dead Souls,Nikolai Gogol | Robert A. Maguire,3.98,4773,3,"January 1, 1842",Classics | Fiction | Russia | Russian Literature | Literature | Novels | 19th Century,3
The Complete Yes Minister,Jonathan Lynn | Antony Jay,4.54,129,1,"January 1, 1981",Fiction | Humor | Politics | Comedy | British Literature | Tv | Satire,1
Chess Story,Stefan Zweig | Peter Gay | Joel Rotenberg,4.27,12745,3,"September 1, 1942",Classics | Fiction | German Literature | Short Stories | Literature | Novella | Novels,3
the burrow,Franz Kafka,3.79,182,1,"January 1, 1924",Fiction | Short Stories | Classics | German Literature | Czech Literature | Literature | Novels,1
The Delicate Prey and Other Stories,Paul Bowles | Vendela Vida,4.17,89,1,"January 1, 1950",Short Stories | Fiction | American | Literature | Africa | Classics | Horror,1
The Good Soldier vejk,Jaroslav Hašek | Josef Lada | Cecil Parrott,4.1,1504,1,"March 1, 1921",Fiction | Classics | Czech Literature | Humor | War | Historical Fiction | Literature,1
Notes from Underground White Nights The Dream of a Ridiculous Man and Selections from The House of the Dead,Fyodor Dostoevsky | Andrew R. MacAndrew | Ben Marcus,4.19,2064,1,"January 1, 1864",Classics | Fiction | Russia | Philosophy | Russian Literature | Literature | Novels,1
2666,Roberto Bolaño,4.21,5717,3,"January 1, 2004",Fiction | Literature | Classics | Novels | Spanish Literature | Mystery | Literary Fiction,3
1984,George Orwell | Thomas Pynchon,4.2,142953,17,"June 8, 1949",Classics | Fiction | Science Fiction | Dystopia | Literature | Politics | Novels,15
The Passion According to G H ,Clarice Lispector | Ronald W. Sousa,4.13,2826,6,"January 1, 1964",Fiction | Classics | Philosophy | Brazil | Novels | Literature | Literary Fiction,6
Dance Dance Dance,Haruki Murakami | Alfred Birnbaum,4.04,6196,14,"October 13, 1988",Fiction | Japan | Japanese Literature | Magical Realism | Fantasy | Contemporary | Novels,14
Death in Venice,Thomas Mann | Michael Henry Heim | Michael Cunningham,3.69,4915,1,"January 1, 1911",Classics | Fiction | German Literature | Literature | Germany | Novels | LGBT,1
The Pit and the Pendulum,Edgar Allan Poe,4.14,1748,2,"January 1, 1842",Classics | Horror | Short Stories | Fiction | Gothic | Mystery | Literature,2
eve s hollywood,Eve Babitz,3.91,1317,1,"January 1, 1974",Nonfiction | Memoir | Essays | Classics | Biography | Short Stories | Biography Memoir,1
The Crying of Lot 49,Thomas Pynchon,3.69,7379,3,"January 1, 1966",Fiction | Classics | Literature | Novels | American | Mystery | Literary Fiction,3
The Gunslinger,Stephen King,3.91,27644,4,"June 1, 1982",Fantasy | Fiction | Horror | Science Fiction | Audiobook | Westerns | Adventure,4
Journey to the End of the Night,Louis-Ferdinand Céline | Ralph Manheim | Angela Cismaş,4.19,3372,1,"January 1, 1932",Fiction | France | Literature | French Literature | Novels | Philosophy | Classics,1
The Death of Ivan Ilych,Leo Tolstoy | Aylmer Maude | Louise Maude,4.14,17144,2,"January 1, 1886",Classics | Fiction | Russia | Russian Literature | Literature | Philosophy | Short Stories,2
The Big Sleep,Raymond Chandler,3.94,8789,1,"February 6, 1939",Mystery | Fiction | Classics | Crime | Noir | Detective | Thriller,1
Fear and Loathing in Las Vegas,Hunter S. Thompson | Ralph Steadman,4.07,11094,1,"July 7, 1971",Fiction | Classics | Humor | Journalism | Novels | Literature | American,1
the garden of good and evil pancakes,David S. Atkinson,4.29,24,1,"April 17, 2014",Humor,1
The Stories of John Cheever,John Cheever,4.26,898,2,"January 1, 1978",Short Stories | Fiction | Classics | Literature | American | Literary Fiction | 20th Century,2
the judgment and other stories,Franz Kafka,3.84,427,7,"January 1, 1912",Classics | Fiction | Short Stories | German Literature | Literature | Czech Literature | Philosophy,6
The City of Joy,Dominique Lapierre,4.26,659,1,"January 1, 1985",India | Fiction | Historical Fiction | Novels | Travel | Asia | France,1
The Blue Octavo Notebooks,Franz Kafka | Max Brod | Eithne Wilkins,4.06,109,2,"January 1, 1953",Nonfiction | Essays | Classics | Biography | Philosophy | German Literature | Literature,2
Hard Boiled Wonderland and the End of the World,Haruki Murakami | Alfred Birnbaum,4.11,9801,41,"June 15, 1985",Fiction | Fantasy | Magical Realism | Japan | Japanese Literature | Science Fiction | Contemporary,39
